scheme_name,scheme_link,details,benefits,eligibility,application_process,documents_required,error
Mukhyamantri Mahila Utkarsh Yojana,https://www.myscheme.gov.in/schemes/mmuy,"Details
Under the scheme, the government provides interest-free loans of up to Rs. 1 lakh to women entrepreneurs who wish to start a new business or expand their existing one. The loans are provided without any collateral security, and the repayment period is up to five years.
The scheme also provides training and skill development programs to women entrepreneurs to help them build their business acumen and enhance their knowledge of entrepreneurship. The Mukhyamantri Mahila Utkarsh Yojana is a great initiative to promote women's entrepreneurship and to empower them to become financially independent. over the scheme name, launch date, ministry/dept. name, target beneficiary, benefits, etc.)
﻿

Objectives:
The main objectives of the scheme are:
To promote women's entrepreneurship and provide them with financial assistance to start or expand their businesses.
To provide interest-free loans to women entrepreneurs to promote their business ventures.
To provide training and skill development programs to women entrepreneurs to enhance their knowledge of entrepreneurship.
To create employment opportunities for women in the state.
﻿

Features of the Scheme:
Interest-Free Loans: Under the scheme, women entrepreneurs can avail of interest-free loans of up to Rs. 1 lakh to start or expand their businesses. The loans are provided without any collateral security.
Repayment Period: The repayment period for the loan is up to 5 years.
Training and Skill Development: The scheme provides training and skill development programs to women entrepreneurs to help them build their business acumen and enhance their knowledge of entrepreneurship.
﻿

Subsidy: The government also provides a subsidy of 6% per annum to women entrepreneurs who repay their loans on time.
No Processing Fee: The scheme does not charge any processing fee for the loan application.
No Income Limit: There is no income limit for women entrepreneurs to apply for the scheme.","Benefits
Interest-Free Loans: Women entrepreneurs can avail of interest-free loans of up to Rs. 1 lakh to start or expand their businesses. The loans are provided without any collateral security.
Subsidy: The government also provides a subsidy of 6% per annum to women entrepreneurs who repay their loans on time.
No Processing Fee: The scheme does not charge any processing fee for the loan application.
Repayment Period: The repayment period for the loan is up to 5 years, giving entrepreneurs sufficient time to repay the loan.
Skill Development: The scheme provides training and skill development programs to women entrepreneurs to help them build their business acumen and enhance their knowledge of entrepreneurship.
Employment Generation: The scheme promotes the creation of employment opportunities for women in the state, leading to the overall economic growth of the state.
Financial Independence: The scheme empowers women entrepreneurs and enables them to become financially independent, contributing to their personal and professional growth.
No Income Limit: There is no income limit for women entrepreneurs to apply for the scheme, making it accessible to women from all income groups.","Eligibility 
The applicant should be a woman who is a permanent resident of Gujarat.
The applicant should be 18 years of age or above.
The applicant should have passed at least the 8th standard.
The applicant should have a valid Aadhaar card.","Online
Application Process
Visit the official website of the scheme
Download the application form from the website or obtain it from the nearest Gujarat Women's Economic Development Corporation (GWEDC) office.
Fill in the application form with all the necessary details, including personal and business-related information.
Attach all the required documents mentioned in the application form.
Submit the Application Form.","List of required documents 
The applicant should have a valid Aadhaar card.
Any government-issued identity proof such as Voter ID, Driving License, or PAN Card.
Any government-issued address proof such as Voter ID, Driving License, or Passport.
The applicant should provide a certificate of having passed at least 8th standard.
The applicant should submit a detailed business plan, including the type of business, the investment required, and expected revenue.
The applicant should provide the bank account details for the loan disbursement.
Recent passport-size photographs of the applicant.",
Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm,https://www.myscheme.gov.in/schemes/ssieemaf,"The scheme “Scheme for Subsidy on Interest for Establishment of 1 to 20 Milch Animal Farm for the State Cattle Breeders” was started by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Under the scheme, all the eligible farmers/cattle breeders of Gujarat State can purchase 1 to 20 animals as per their need and capacity to maintain. The eligible beneficiary can get an interest subsidy @ 12 % interest on a bank loan amount for 5 years if he/she has obtained a loan for setting up the unit in the current financial year 2023-24 through a nationalized bank or a financial institution approved by the Reserve Bank of India.
            It also provides good-quality organic manure for improving crop fertility & crop yields. Dung is also used as fuel for domestic purposes. The surplus fodder agricultural by-products are utilized by animals & converted into value-added products viz. Milk, Meat, etc.","The beneficiary can purchase 1 to 20 Milch animals (Any dairy animal cow & buffalo) at a subsidized rate as per their need and capacity to maintain.
The beneficiary can get an interest subsidy up to a maximum of 12% on the unit cost of the animal or the unit loan advanced by the bank for the purchase of the animal, whichever is lower, will be available for a period of five years.
Note 01: The amount of interest subvention will be deposited in the beneficiary's loan account in the form of a Direct Benefit Transfer (DBT) in installments. There will be no cash assistance for any of the beneficiaries.
Note 02: The interest calculated on the actual interest, subject to a maximum of 12% interest, whichever is less, shall be payable under the said scheme at the rate fixed by the State Government on the price of the animal or on the interest paid by the bank on the animal, whichever is less.","The applicant should be a permanent resident of Gujarat State.
Only one member of the family should be the beneficiary of the scheme.
The benefit of this scheme will be available to all the farmers of Gujarat State.
The applicant will be eligible for assistance only if he has obtained a loan for setting up the unit in the current financial year 2023-24 through a nationalized bank or a financial institution approved by the Reserve Bank of India.
Note 01: The land should be owned by a member of the family or a beneficiary of the scheme.
Note 02: The grant made under this Act may not be used for any other purpose and shall be paid annually.
Note 03: The scheme shall provide for the establishment of a unit of livestock (cows and buffaloes) by obtaining a certificate from the Animal Husbandry Authority.","Online
Step 01: The beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx﻿
Step 02: Click on the ""Apply New"" button and submit a new application.
Step 03: Click on the ""Update Application"" button to add corrections to the application.
Step 04: Click on the ""Upload Document"" button to upload all the relevant documents.
Step 05: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.
Step 06: The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application Scanned copy of the application and other documents can be uploaded after confirming the application
Step 07: Take a printout of the confirmed application.
﻿

Note 01: The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.
Note 02: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.
Note 03: Scanned copy uploaded in PDF format should not exceed 200 KB in size.","Government-approved photo ID i.e. Aadhaar Card, Voter ID Card
Basis (evidence) for land (if applicable)
Disability Certificate from Competent Authority (only for disabled) (if applicable)
Ration Card (if applicable)
Bank account details
Beneficiary's Undertaking/Consent Form
Loan account passbook or bank disbursement certificate",
Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes,https://www.myscheme.gov.in/schemes/sse25krbust,"The scheme “Subsidy Scheme on Establishment of - 25 Kadaknath / R.I.R. Birds Unit to Scheduled Tribes” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to provide employment, nutritious diet and to raise the income of Scheduled Tribe People of the society of Gujarat State. Under this scheme, the beneficiary will be given 25 R.I.R birds unit and a subsidy will be given 75% of the unit cost of the scheme (maximum ₹4500/- in the form of birds and poultry feed).
Terms and conditions of the scheme:-
The eligible applications will be sanctioned by the Regional Joint Director.
The beneficiary will have to manage to keep the birds safe during night hours.
As and when birds get infected, they should be given treatment immediately.
As and when the Government officer visits the farm the beneficiary will have to show income and expenditure statement.
In normal cases, the unit will have to maintain for two years.
In all terms and conditions, the final authority will be the Director of Animal Husbandry, Gujarat State, Gandhinagar.","1.	The beneficiary will be given 25 R.I.R birds unit along with poultry feed.
2.	The Subsidy will be given 75% of the unit cost of the scheme (maximum ₹4500/- in the form of birds and poultry feed).
3.	Under the scheme, the birds will be given vaccination regularly.","The benefits of this scheme will only be given to the adult of Scheduled Tribe people of the society of Gujarat State.
The beneficiary will have to provide income proof and a caste certificate along with application.
Females and beneficiaries below poverty line will be given priority.
The beneficiary should have taken poultry-keeping training.","Offline
Step 01: The applicant needs to visit the nearest Intensive Poultry Development Project Office or District Poultry Extension Centre and collect the application form.
Step 02: Fill in all the mandatory fields of the application form, attach all the (self-attested) required documents, and submit it to the designated receiving authority.
Step 03: After successful verification, the applicant can avail the benefit of the scheme.","Identity proof i.e. Aadhaar Card, Voter ID Card
Income Proof Certificate
Below Poverty Line Card (If applicable)
Residence proof
Caste Certificate
Disability Certificate from Competent Authority (if applicable)
Ration Card (if applicable)
Savings Account Bank Passbook or Cancelled Check",
Incentive To Owners Of Artificial Insemination Born Female Calf Through Pure Breeding In Indigenous Cow,https://www.myscheme.gov.in/schemes/ioaibfcpbic,"The scheme “Incentive to Owners of Artificial Insemination Born Female Calf through Pure Breeding in Indigenous Cow” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. The objective of this scheme is to avoid a decrease in the number of local pure breeds of Cow namely Gir and Kankrej and increase it to be properly maintained in the state.","1.	The incentive of ₹3,000/- will be given to owners of a female calf born through Artificial Insemination by pure breeding in indigenous cows.
2.	The incentive/assistance shall be given once per year for one calf per beneficiary.","The applicant should be a permanent resident of Gujarat State.
The applicant should be the owner of a female calf born through artificial insemination by pure breeding in indigenous cows.
The age of the calf should not be more than 11 months as of the date of the online application.
The benefit of this scheme is eligible once per year for a maximum of one calf per beneficiary.","Online
Step-01: The owners of a female calf born through A.I. by pure breeding in an indigenous cow can apply online at I-Khedut Portal.
﻿https://ikhedut.gujarat.gov.in/iKhedutPublicScheme1/Public/frm_Public_ANH2_SchemeApplicaiton.aspx﻿
Step-02: Now, the applicant needs to select the scheme in the Animal Husbandry Schemes Section on the portal and click on ""Click here for details"". 
Step-03: The applicant needs to select the desired scheme and read the instruction carefully and then click on ‘Apply’.
Step-04: Choose the option ‘Yes’ or ‘No’ and then click on “Click to proceed”.
Step-05: Click on the ""Click to Apply New"" button and submit a new application.
Step-06: Click on the ""Update Application"" button to add corrections to the application.
Step-07: Click on the ""Upload Document"" button to upload all the relevant documents.
Step-08: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.
Step-09: Take a printout of the confirmed application.
Step-10: The application must be signed and submitted along with the supporting documents to the nearby Veterinary Officer of the Veterinary Dispensary.
Step-11: Scanned copy of the application and other documents can be uploaded after confirming the application.
﻿

Note-01: The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.
Note-02: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents in the concerned office within seven days of application.
Note-03: For the approval of the application form printout of the online application must be submitted to the nearby Veterinary Officer of Veterinary Dispensary.
Note-04: Scanned copy uploaded in PDF format should not exceed 200 KB in size.","Government-approved photo ID (if applicable) i.e. Aadhaar Card
Canceled Bank Cheque or Xerox of the first page of Bank Passbook
Ration Card (Barcoded)
Certificate of AI done from whom AI is carried out. (as mentioned in the online application)
Certificate of Artificial Insemination Institution (if applicable) of Animal Breeding by Artificial Insemination 
Certificate of spot verification of calf details by Veterinary Officer/Livestock Inspector (if applicable)
Disability Certificate from Competent Authority (only for disabled) (if applicable)",
Go-Green Three Wheelers Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/ggtwsgbocwwb,"The “Go-Green Three Wheelers Scheme” is implemented by the Gujarat Building and Other Construction Worker’s Welfare Board (GBOCWWB), Labour, Skill Development & Employment Department, Government of Gujarat. Under the scheme, a one-time subsidy will be provided on the purchase of battery-operated tricycle (e-rickshaw) vehicles to registered construction disabled workers.
Objective:
If a registered construction worker becomes disabled or incapacitated due to an accident while working at a construction site, the income of the construction worker ceases. So the construction worker is permanently financially unable to support the family. In such a situation, the use of three-wheelers is intended to help the construction workers as a source of income so that they can find other employment and support their families.","Under this scheme, a one-time subsidy will be available to the extent of 50% of the Ex-Showroom Price or ₹48,000/- whichever is less.
The assistance will also be available for the amount of Registration Fee and Road Tax paid for the first time of the new Three-Wheeler. (RTO Tax and Road Tax would be reimbursed as well.)
Note 01: The cost of the motor vehicle tax amount of the new three-wheeler, fixed by the State Government and at the prevailing rate applicable to persons with disabilities, will be borne by the registered disabled construction worker here.
Note 02: This additional subsidy will be provided in addition to the subsidy available under the electric vehicle-related schemes of Government.","The construction workers should be registered with the Gujarat Building and Other Construction Worker’s Welfare Board.
The registered construction workers who become disabled or incapacitated due to an accident while working at a construction site will be eligible to get the benefit of this scheme.
The registered construction disabled worker (Shramyogi) should have purchased a lithium-ion battery-operated vehicle in his own name.
The registered construction disabled worker (Shramyogi) should hold a tri-cycle license to operate a tri-cycle.
The benefit of this scheme will be available once per registered construction disabled worker.","Offline
Application Process:
Step 01: To avail of the benefits under the scheme, the applicants need to visit the nearest district office of the Gujarat Building and Other Construction Worker’s Welfare Board.
Step 02: Collect the application form and fill in all the details as required.
Step 03: Attach all the required documents and submit the application form to the concerned official at the district office.
Post-Application Process:
Step 01: The application form will be approved by District Nirikshak.
Step 02: Then it will be submitted to the State Project Manager of the Head office.
Step 03: It will then be approved by the Head Office Govt. Labour officer and then Member Secretary subsequently.
Step 04: After checking the online application made by the dealer approval of the Accounts Officer and Hon’ble Member Secretary, reimbursed amount.","Aadhaar card
e-Nirman Card
RTO of the registered construction worker
Copy of valid three-wheeler license
Certificate of incapacity from the Certifying Civil Surgeon
Any other documents as required",
Full Medical Checkup Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/sfmcas-glwb,"The “Full Medical Checkup Assistance Scheme” is implemented by the Gujarat Labour Welfare Board, Labour, Skill Development & Employment Department, Government of Gujarat. The objective of the scheme is to conduct health check-ups for male Shramyogis above 45 years of age and female Shram Yogis above 35 years of age who are working in the organized sector in the state of Gujarat. Only those workers (Shramyogi) who’s Labour Welfare Fund has been paid regularly by their organization/unit for the last one year will be eligible.","The scheme provides health check-ups for male Shramyogi above 45 years of age and female Shramyogi above 35 years of age working in the organized sector in the state of Gujarat.
Note: A fixed amount of ₹1950/- per worker for complete medical check-ups and 25% of this amount is ₹487.50 to be paid by the organization/company.","Only those workers (Shramyogis) whose Labour Welfare Fund has been regularly paid by their organization/unit for the last one year will be eligible.
The male Shram Yogis above 45 years of age and female Shram Yogis above 35 years of age working in the organized sector will be eligible to avail of the benefits under the scheme.
The benefit will be given once a year to the labourers.
The Gujarat Labour Welfare Board shall not be responsible for any side effects during/after physical examination.
After getting in-principle approval from the office here, the medical examination has to be done within 30 days with the mutual agreement of the company and the hospital.
Note 01: The company willing to avail the benefits will have to upload the list (Excel Sheet) in the portal.
Note 02: Fees paid under this scheme will not be refunded.
Note 03: The final decision regarding the scheme will be with the Welfare Commissioner. The jurisdiction will be Ahmedabad.","Online
Application Process for Scheme Benefit:
Step 01: The applicant may visit the Sanman Portal: https://sanman.gujarat.gov.in/﻿
Step 02: On the home page, under the tab ‘Citizen Login’, click on ‘Please Register Here’.
Step 03: Enter your Aadhaar Card Number, select user type, and then enter your Labour Welfare Fund Account Number.
Step 04: Now, click on ‘Fetch’ & verify the details.
Step 05: Enter user details and Password.
Step 06: After successful registration, the applicants can login through their User ID and Password.
Step 07: Now, select the scheme and read the instructions carefully for the selected scheme.
Step 08: Fill out the application form and upload all the relevant documents.
Step 09: Agree with the Rules & Regulations and submit the application form. A confirmation email with the application Number will be sent on the registered email ID.","Passport-size Photograph
A copy of the identity card issued by the contractor to the worker/labour
Aadhaar Card of Labour
Labour Welfare Fund Account Number
﻿Bonafide certificate﻿
Any other documents as required",
Scholarship/Stipend to SC Students for ITI/Professional Courses (Swami Vivekanand Scholarship),https://www.myscheme.gov.in/schemes/ssscsitipcsvs,"The “Scholarship/Stipend to SC Students for ITI/Professional Courses” scheme is administered by the Director, Scheduled Caste Welfare, Government of Gujarat. Under the scheme, a monthly stipend/scholarship will be given to Scheduled Caste Category students who are studying professional courses in Government or Private Industrial Training Institute (ITI).","•	Under the scheme, a monthly stipend of ₹400/- is given to the eligible student.","The student should belong to the Scheduled Caste of Gujarat.
The student should be studying in professional course in a Government or Private Industrial Training Institute (ITI).
The annual family income of the student should be up to ₹6,00,000/- (For Rural & Urban Areas).","Online
Application Process for Scheme Benefit:
Step 01: The applicant may visit the Digital Gujarat Portal: https://www.digitalgujarat.gov.in/﻿
Step 02: On the home page, click on ‘Register’ and the applicant will be redirected to the registration form page.
Step 03: Enter your Mobile Number, Email, Set Password and then click on ‘Save’.
Step 04: After successful registration, the applicant can login through his/her User Name (Mobile No./Email ID) and Password.
Step 05: Now, click on ‘My Profile’ to update your profile and fill in all the mandatory information.
Step 06: After filling in profile details, click on ‘Update Profile’. Profile will be updated after entering the verification Code (OTP).
Step 07: Now under services, select ‘Scholarship Services’ and then click on ‘SC Scheme’.
Step 08: Select the Financial Year in which you want to apply for and then click on ‘Change Financial Year’.
Step 09: Select the scheme, read the interaction carefully, and then click on ‘Continue to Service’.
Step 10: Fill in the application form completely and upload all the relevant documents.
Step 11: Now, click on ‘Save as Draft’ and agree with the terms & conditions, and submit the application form by clicking on ‘Confirm & Final Submit’. 
Instructions:
Note 01: Photo uploading for all applicants is mandatory.
Note 02: The application will be considered complete only when all sections are completed.
Note 03: Only one application per applicant will be acceptable for the ITI Scholarship/Stipend. If any student submits more than one application either from a single institute or from multiple institutions his/her all applications will be rejected by the competent authority and no request from any side will be entertained.
Note 04: In case of any wrong/misleading information provided in the application shall lead to rejection of the application by Department Authorities.
Note 05: All required documents must be carefully scanned as per the instructions given.
Note 06: The student has to fill his/her application carefully as there is no provision for institution change once the application is submitted successfully.
Note 07: The unreadable uploaded documents will allow the competent authority to reject the student application.
Note 08: Direct Individual submission of this application form will not be accepted in case of students studying inside the state.","Passport size photo
Identity proof i.e. Aadhaar Card
Income Certificate (Competent Authority) (Form No. 16 required for Govt. Employee)
Caste Certificate from the Competent Authority
First Page of Bank Passbook/Cancelled Cheque
School Leaving Certificate (If Any)
Break Affidavit(If Break Gap is More than One Year)
Death Certificate of Father (If Father not Alive)
Other Marksheets/Last Year Marksheet (If Any)
Identity Card (College/School)
Any other documents as required
Note: The Validity of the Income Certificate is 3 years. It is advised to check the Income Certificate issue date before uploading the document.",
Maternity Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/masglwb,"The “Maternity Assistance Scheme” was launched by the Gujarat Labour Welfare Board, Labour, Skill Development & Employment Department, Government of Gujarat. Under the scheme, financial assistance is provided to female workers and the wives of workers to cover expenses incurred for health check-ups, medicine, nutritious diet, etc., during the maternity period.","Under this scheme, financial assistance of ₹10,000/- is provided to female workers and the wives of workers to cover expenses incurred during the maternity period.","The workers who are working in the organized sector in the state of Gujarat will be eligible to get the benefit of this scheme.
The workers should have been working continuously with the Factory/Company/Organization for one year and his/her Labour Welfare Fund should have been deposited in the board.
Application has to be made within 1 (one) year from the date of delivery.
The benefit of this scheme is available to either female workers or the wives of workers for only one delivery.
Note: Assistance will not be provided if there is a change in the name of the pregnant woman mentioned in the birth certificate/document and the name of the pregnant woman mentioned in the bank passbook.","Online
Application Process for Scheme Benefit:
Step 01: The applicant may visit the Sanman Portal: https://sanman.gujarat.gov.in/﻿
Step 02: On the home page, under the tab ‘Citizen Login’, click on ‘Please Register Here’.
Step 03: Enter your Aadhaar Card Number, select user type and then enter your Labour Welfare Fund Account Number.
Step 04: Now, click on ‘Fetch’ & verify the details.
Step 05: Enter user details and Password.
Step 06: After successful registration, the applicants can login through their User ID and Password.
Step 07: Now, select the scheme and read the instructions carefully for the selected scheme.
Step 08: Fill out the application form and upload all the relevant documents.
Step 09: Agree with the Rules & Regulations and submit the application form. A confirmation email with the application Number will be sent on the registered email ID.
Note 01: Applications made with incomplete/wrong details will not be entertained.
Note 02: The final decision regarding assistance will be with the Welfare Commissioner. The jurisdiction will be Ahmedabad.","1.	Passport-size Photograph
2.	A copy of the identity card issued by the contractor to the worker/labour
3.	Aadhaar Card of Labour
4.	Labour Welfare Fund Account Number
5.	Proof of pregnancy/Medical report
6.	Birth certificate of child
7.	Aadhaar card of the beneficiary
8.	Bonafide certificate﻿
9.	Bank account details/Bank Passbook 
10.	Any other documents as required",
Tablet Assistance to Scheduled Caste Students of 12th Standard,https://www.myscheme.gov.in/schemes/tascs12s,"The “Tablet Assistance to Scheduled Caste Students” scheme is administered by the Director, Scheduled Caste Welfare, Government of Gujarat. Under the scheme, tablets are provided to students in the 12th standard who belong to the Scheduled Caste (SC) category.","Under the scheme, students in the 12th standard belonging to the Scheduled Caste category will receive a tablet by paying a token fee of ₹1,000/-.","The student should belong to the Scheduled Caste of Gujarat.
The student should be studying in 12th Standard.
There is no income limit.
Note: The students should have received a tablet from the education department by paying a token fee of ₹1,000/-","Online
Application Process for Scheme Benefit:
Step 01: The applicant may visit the Digital Gujarat Portal: https://www.digitalgujarat.gov.in/﻿
Step 02: On the home page, click on ‘Register’ and the applicant will be redirected to the registration form page.
Step 03: Enter your Mobile Number, Email, Set Password, and then click on ‘Save’.
Step 04: After successful registration, the applicant can login through his/her User Name (Mobile No./Email ID) and Password.
Step 05: Now, click on ‘My Profile’ to update your profile and fill in all the mandatory information.
Step 06: After filling in profile details, click on ‘Update Profile’. The profile will be updated after entering the verification Code (OTP).
Step 07: Now under services, select ‘Scholarship Services’ and then click on ‘SC Scheme’.
Step 08: Select the Financial Year in which you want to apply for and then click on ‘Change Financial Year’.
Step 09: Select the scheme, read the interaction carefully, and then click on ‘Continue to Service’.
Step 10: Fill in the application form completely and upload all the relevant documents.
Step 11: Now, click on ‘Save as Draft’ and agree with the terms & conditions, and submit the application form by clicking on ‘Confirm & Final Submit’. 
Note: To avail the benefits of the scheme, the student may also contact to principal of his/her school.
Instructions:
Note 01: Photo uploading for all applicants is mandatory.
Note 02: The application will be considered complete only when all sections are completed.
Note 03: Only one application per applicant will be acceptable for Tablet assistance. If any student submits more than one application either from a single institute or from multiple institutions his/her applications will be rejected by the competent authority and no request from any side will be entertained.
Note 04: In case of any wrong/misleading information provided in the application shall lead to rejection of the application by Department Authorities.
Note 05: All required documents must be carefully scanned as per the instructions given.
Note 06: The student has to fill out his/her application carefully as there is no provision for institution change once the application is submitted successfully.
Note 07: The unreadable uploaded documents will allow the competent authority to reject student applications.
Note 08: Direct Individual submission of this application form will not be accepted in case of students studying inside the state. Only outside students have to fill out their form online and submit his/her application form to their native district officer.
﻿User Manual-English
﻿User Manual-Gujarati","Passport size photo
Identity proof i.e. Aadhaar Card
Caste Certificate From the Competent Authority
First Page of Bank Passbook/Cancelled Cheque
Break Affidavit (If Break Gap is More than One Year)
12th Standard Marksheet (If Any)
Identity Card (College/School)
Any other documents as required",
Financial Assistance Scheme for Purchase of Agricultural Land to Scheduled Caste Farmers,https://www.myscheme.gov.in/schemes/faspalscf,"The scheme “Financial Assistance Scheme for Purchase of Agricultural Land to Scheduled Caste Farmers” is implemented by the Director Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat. The scheme was launched in the year 1986. Under the scheme, financial assistance is provided to farmers belonging to the scheduled castes to purchase agricultural land, with a maximum limit of 2 acres, for self-cultivation. This initiative aims to enhance their income, particularly considering the dependence of many scheduled caste individuals on farm labour.","Under the scheme, Scheduled caste farmers are provided with financial assistance of ₹1,00,000/- per acre to purchase agricultural land.
Assistance is provided up to ₹2,00,000/- for a maximum of 2 acres to enable the purchase of agricultural land.","The applicant should belong to Scheduled Castes Category.
The applicant should be a native of Gujarat.
The applicant must be an agricultural labourer.
The annual income limit will be ₹6,00,000/- for rural areas and ₹6,00,000/- for urban areas.
Excluding government assistance, only the beneficiary who is able to purchase the land is eligible for the benefit.
Only one member of the family is eligible for the benefit.
Beneficiaries of land acquired with government assistance will be subject to non-sale for 15 years.
Under this scheme, assistance will be available for purchasing agricultural land from government or private individuals.","Online
Step 01: The eligible applicant may visit the e-Samaj Kalyan Portal: https://esamajkalyan.gujarat.gov.in/﻿
Step 02: On the home page, under the tab ‘Citizen Login’, click on New User ‘Please Register Here’.
Step 03: Enter your Full Name as per Aadhaar Card, Gender, Date of Birth, Aadhaar Card Number, Email ID, Caste etc. and then click on ‘Register’.
Step 04: After successful registration, the applicants can login through their User ID and Password.
Step 05: Now, click on ‘User Profile’ to update your profile.
Step 06: Fill in all the mandatory information and then click on ‘Update’. 
Step 07: After updating the profile successfully, select the scheme appearing on the home page; an application form will open.
Step 08: Fill in all the mandatory details in the application form and upload all the relevant documents.
Step 09: Now agree with the terms & conditions and click on ‘Save Application’.
Step 10: Submit the application form and take out the print of the application for future reference. The applicant can note down the application number to track the application status by logging into the portal using their User ID and Password.
﻿User Manual","Passport-size Photograph
Aadhaar Card of the applicant
Caste Certificate issued by the competent authority
Proof of being a farmer/agricultural worker
Income certificate
Valid copy Revenue (Revenue) Department's permission to sell land 
True copy of revenue account permission for sale of land
Copy of first page of Bank Passbook/Cancelled Cheque (in applicant's name)
Any other documents as required",
